c_searchCode,p_searchCodeDescription
I214,Non-ST elevation (NSTEMI) myocardial infarction
K920,Hematemesis
A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
D689 ,"Coagulation defect, unspecified"
K625,Hemorrhage of anus and rectum
Z951,Presence of aortocoronary bypass graft
E876,Hypokalemia
R140,Abdominal distension (gaseous)
S72142,DISPLACED INTERTROCHANTERIC FRACTURE OF LEFT FEMUR
G009,"Bacterial meningitis, unspecified"
Z794,Long term (current) use of insulin
Z882,Allergy status to sulfonamides status
R319,"Hematuria, unspecified"
I10,Essential (primary) hypertension
R0602,Shortness of breath
E669,"Obesity, unspecified"
I499,"Cardiac arrhythmia, unspecified"
S72143,DISPLACED INTERTROCHANTERIC FRACTURE OF UNSPECIFIED FEMUR
J95811,Postprocedural pneumothorax
J3489,Other specified disorders of nose and nasal sinuses
E785,"Hyperlipidemia, unspecified"
R110,Nausea
J9383,Other pneumothorax
E871,Hypo-osmolality and hyponatremia
K228,Other specified diseases of esophagus
R062,Wheezing
E039,"Hypothyroidism, unspecified"
R042,Hemoptysis
G92,Toxic encephalopathy
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb
G8220,"Paraplegia, unspecified"
S72001,FRACTURE OF UNSPECIFIED PART OF NECK OF RIGHT FEMUR
S42202,UNSPECIFIED FRACTURE OF UPPER END OF LEFT HUMERUS
K219,Gastro-esophageal reflux disease without esophagitis
C61,Malignant neoplasm of prostate
H269,Unspecified cataract
W19,UNSPECIFIED FALL
R252,Cramp and spasm
R42,Dizziness and giddiness
K315,Obstruction of duodenum
4A02,MEASUREMENT CARDIAC
M899,"Disorder of bone, unspecified"
D72829,"Elevated white blood cell count, unspecified"
D72819,"Decreased white blood cell count, unspecified"
C269,Malignant neoplasm of ill-defined sites within the dgstv sys
E119,Type 2 diabetes mellitus without complications
K5900,"Constipation, unspecified"
K648,Other hemorrhoids
K635,Polyp of colon
A0220,"Localized salmonella infection, unspecified"
C50919,Malignant neoplasm of unsp site of unspecified female breast
Z66,Do not resuscitate
I509,"Heart failure, unspecified"
